,price,price_per_metr,rooms,floor,location,title,Date_add,Date_update,Size (m2),url
19,,, • 3 pokoje, • piętro 2,"Kraków, Podgórze Duchackie, ul. Białoruska 69",Opis nieruchomości,06.06.2024,17.07.2024,"48,40",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-duchackie-bialoruska-69-48m2-mzn2043961526
20,,, • 2 pokoje, • piętro 4/7,"małopolskie, Kraków, ul. Ciesielskiego",Opis nieruchomości,12.04.2024,04.07.2024,"37,12",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-ciesielskiego-37m2-mzn2043682200
21,956260.0,13960.0, • 3 pokoje, • piętro 5/5,"Kraków, Prądnik Biały, Conrada 27",Opis nieruchomości,13.11.2023,15.07.2024,"68,50",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-conrada-27-68m2-mzn2042977732
22,,, • 4 pokoje, • piętro 3,"Kraków, Stare Miasto (historyczne), Stare Miasto, ul. Prandoty 10C",Opis nieruchomości,26.01.2023,17.07.2024,"94,54",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-stare-miasto-prandoty-10c-94m2-mzn2041533782
23,,, • 2 pokoje, • piętro 7,"Kraków, Stare Miasto (historyczne), Stare Miasto, ul. Prandoty 10C",Opis nieruchomości,24.05.2024,17.07.2024,"36,51",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-stare-miasto-prandoty-10c-36m2-mzn2043903396
24,1104701.0,22499.0, • 2 pokoje, • piętro 5/5,"Kraków, Kazimierz, Skawińska",NIEPOWTARZALNE urządzone mieszkanie na Kazimierzu,14.07.2021,19.05.2024,"49,10",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-skawinska-49m2-mzn2038041078
25,429000.0,5723.0, • 4 pokoje, • piętro 5/5,"Kraków, Krowodrza, Śląska 2",Powierzchnia na poddaszu na ul. Śląskiej,29.02.2024,12.07.2024,"74,96",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-krowodrza-slaska-74m2-mzn2043413673
26,1116056.0,12200.0, • 4 pokoje, • piętro 1/2,"Kraków, Prądnik Biały, Piaskowa",ul Piaskowa B1/2 Sprzedaje deweloper,10.05.2023,16.05.2024,"91,48",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-piaskowa-91m2-mzn2042061149
27,,, • 2 pokoje, • piętro 5/7,"Kraków, Podgórze, Pana Tadeusza 10",Opis nieruchomości,28.05.2024,15.07.2024,"46,75",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-pana-tadeusza-10-46m2-mzn2043922354
28,935200.0,23979.0, • 2 pokoje, • piętro 2/7,"Kraków, Podgórze, Zabłocie, Pana Tadeusza 10",Zabłocie • Bezpośrednio • Wykończone • Bez PCC,05.07.2024,16.07.2024,39,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-pana-tadeusza-39m2-mzn2044116950
29,690000.0,9857.0, • 3 pokoje, • parter/2,"Kraków, Kraków-Krowodrza, Wola Justowska, Królowej Jadwigi",✅ Dwa lub trzy pokoje ✅ Wola Justowska ✅,12.03.2024,12.07.2024,70,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-zwierzyniec-krolowej-jadwigi-70m2-mzn2043485645
30,400000.0,18182.0, • 1 pokój, • parter/1,"Kraków, Ruczaj, Mochnaniec",ENG| Kawalerka przy ul. Mochnaniec | Ruczaj,20.06.2024,11.07.2024,22,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-debniki-mochnaniec-22m2-mzn2043044606
31,928560.0,13730.0, • 3 pokoje, • piętro 4/5,"Kraków, Prądnik Biały, Conrada 27",Opis nieruchomości,13.11.2023,15.07.2024,"67,63",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-pradnik-bialy-conrada-27-67m2-mzn2042977709
32,,, • 2 pokoje, • piętro 4/7,"Kraków, Podgórze, Pana Tadeusza 10",Opis nieruchomości,28.05.2024,15.07.2024,"45,74",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-pana-tadeusza-10-45m2-mzn2043922346
33,,, • 3 pokoje, • piętro 1,"Kraków, Podgórze Stare, ul. Rydlówka",Opis nieruchomości,03.07.2023,17.07.2024,"49,95",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-krakow-podgorze-rydlowka-49m2-mzn2042319738
